PC1,PC2,soc,cycle,battery
0.6476595871932466,1.8867125697770348,70,1,B07
-0.08832011391806058,1.3585272708431313,75,1,B07
-0.5305520275236062,0.8667543944501368,80,1,B07
0.0003610383219191687,1.2770775993779315,85,1,B07
-0.15184688849615396,1.2032550711836707,90,1,B07
-0.312057024213382,1.1153897523787075,95,1,B07
0.4548846347268801,2.095509311976391,100,2,B07
0.803455010673071,1.8692805649448656,10,2,B07
0.6915773910689873,1.803226477509532,15,2,B07
0.6032295650746651,1.7235354636847455,20,2,B07
0.513456493755957,1.7818097700515327,25,2,B07
0.7631060782603137,1.9874556941269652,30,2,B07
0.8648644956428329,1.9663848828517496,35,2,B07
0.49626609179762143,1.6353086734094746,40,2,B07
0.7108854812139734,1.7791048129888294,45,2,B07
0.1665602683993081,1.2384656799609974,50,2,B07
0.5646846942481595,1.6094375894241912,55,2,B07
0.5767414698607732,1.5451718850959726,5,2,B07
1.4524582997077498,2.3683888651632903,60,2,B07
-0.1768926824682365,0.9165480383176048,65,2,B07
-0.15311962884764332,0.9836476335795624,70,2,B07
-0.1685720798002302,1.0611338153358183,75,2,B07
-0.1711792321577992,1.0602758939438433,80,2,B07
-0.2665096032731229,0.8861522034307594,85,2,B07
-0.008110351970206996,1.0735492508931672,90,2,B07
0.6397347569615465,1.746945073788839,95,2,B07
0.7490246881078316,1.542581821031874,100,1,B08
2.0992562883625303,1.6783369558255332,10,1,B08
1.5545310324276485,1.2238276676713786,15,1,B08
1.6434447089728659,1.3077792682989982,20,1,B08
1.5634062511193083,1.2442212866868327,25,1,B08
1.7452284908930684,1.4929153163157372,30,1,B08
1.5953704591972033,1.3436527278777766,35,1,B08
1.1383843395622517,1.045334964438178,40,1,B08
1.1639956612266253,0.8629761349918995,45,1,B08
1.0042341189411546,0.6970916807500721,50,1,B08
1.0996736650410275,0.7720402983522193,55,1,B08
1.4633059571131752,1.0489152686209084,5,1,B08
1.2310166641458598,0.8871873039406156,60,1,B08
1.0039738359724029,0.7348890732430999,65,1,B08
1.6598810066981384,1.444782040700629,70,1,B08
1.3752602742837918,1.0282121788049383,75,1,B08
0.5217199548109177,0.32876636538689313,80,1,B08
0.71182066724656,0.569719005437859,85,1,B08
0.6803097093483896,0.524828098759491,90,1,B08
1.3785184161485258,1.1467234759122347,95,1,B08
-0.21072195797308438,0.31091693327037045,100,2,B08
1.3266545610769045,0.8974485814384923,10,2,B08
0.8607868384623245,0.48642744722874187,15,2,B08
0.7604085002135951,0.49460736260003363,20,2,B08
1.3209855574129792,0.9509999232842066,25,2,B08
1.1623114459953279,0.9876168262669616,30,2,B08
1.0521729273129927,0.8439640528371147,35,2,B08
2.268991798630785,2.056731718256813,40,2,B08
1.7209385579424097,1.3956956494402126,45,2,B08
0.649970440244725,0.3263003286703925,50,2,B08
1.5138930489756721,1.115747386416857,55,2,B08
1.0963293056559644,0.8405657643512559,5,2,B08
1.5544978763356216,1.0938024605105574,60,2,B08
1.2011691825313293,0.9359170192680567,65,2,B08
1.4558337127860914,1.084577490636443,70,2,B08
0.2532286361859924,0.03467375968041234,75,2,B08
0.3196362577871303,0.11327948061203133,80,2,B08
-0.0011354309628115976,-0.1789673347182337,85,2,B08
-0.028752325724779385,-0.3401492152060643,90,2,B08
0.27484036986060145,-0.04651489807947769,95,2,B08
-2.1860494501927024,0.7823827532892689,100,1,B09
-1.3065228053540614,0.8463957206618024,10,1,B09
-1.0920208705836199,1.1287031645519208,15,1,B09
-1.3676550593146177,0.9066859295500872,20,1,B09
-1.0896188943826115,1.1415410924732765,25,1,B09
-1.4627855321857346,0.7500617551907721,30,1,B09
-1.407964125204878,0.7080343981405748,35,1,B09
-1.0177378344152854,1.1646211821022265,40,1,B09
-1.1105004950296657,0.9657770745917282,45,1,B09
-1.0733515105103768,1.0161684088822118,50,1,B09
-0.18979739673733564,1.9836527598250528,55,1,B09
-0.9446300953275772,1.088425302382353,5,1,B09
-1.973424077800294,0.2652576106617731,60,1,B09
-1.2140162715489415,1.1121317785052462,65,1,B09
-1.455508794621264,0.8222629431938591,70,1,B09
-2.0001771911616713,0.32990232328720664,75,1,B09
-2.374900891395803,-0.12940046075974931,80,1,B09
-1.9515420021612513,0.23090442853499643,85,1,B09
-1.9448477980637078,0.26244859606535076,90,1,B09
-1.9332021303817182,0.2673955068522645,95,1,B09
-1.6023386796683425,0.8755384046147053,100,2,B09
-1.1050770470037397,0.8076691529792375,10,2,B09
-1.4471309403345771,0.5107821220071946,15,2,B09
-1.1571086093021064,0.8825046321767684,20,2,B09
-1.1478861267440135,0.8186285861316908,25,2,B09
-1.4627503266851658,0.5102587241242594,30,2,B09
-1.281069159422831,0.7087598328900896,35,2,B09
-1.6336853477022082,0.33194305550170045,40,2,B09
-1.5330341439181272,0.39792413989879794,45,2,B09
-1.5568378294786782,0.32373264267632784,50,2,B09
-1.571468791466112,0.2600900848910263,55,2,B09
-1.319751216557343,0.5650239495205392,5,2,B09
-0.5417996157195704,1.482651318693041,60,2,B09
-1.9456505544584501,0.1870844622340157,65,2,B09
-1.129794216190146,0.8950397045293074,70,2,B09
-2.0555972930613384,-0.03383644977172003,75,2,B09
-1.2814281785443569,0.7400703381303959,80,2,B09
-1.5529893961733492,0.40712498786363654,85,2,B09
-1.5600002270084994,0.3333014812044094,90,2,B09
-1.7790626021053981,0.07178382925062894,95,2,B09
0.6946230346383592,2.3383883212856023,100,1,B10
0.125487803324112,1.427776984755627,10,1,B10
0.0904916791818619,1.4060181081146663,15,1,B10
0.5760934036591278,1.9339385342848225,20,1,B10
-0.019285764850180902,1.4272830107520038,25,1,B10
0.03925246832695326,1.4929892207122368,30,1,B10
0.2777566296652989,1.6729002273443911,35,1,B10
-0.015092418568781296,1.3040924409386165,40,1,B10
0.06179602439749798,1.3983038493605535,45,1,B10
-0.1369309682531684,1.1249278659493982,50,1,B10
0.15189056106989363,1.379373399419241,55,1,B10
0.4534110670891651,1.7232287731712137,5,1,B10
-0.2597073270642113,1.080931550694369,60,1,B10
-0.08961775363923298,1.2239754053838374,65,1,B10
-0.44418405867662647,0.9420897125364888,70,1,B10
-0.47732118857303907,0.9221641867712502,75,1,B10
-0.08723270953503169,1.3203188827207097,80,1,B10
-0.13701986362575425,1.2255414735677714,85,1,B10
0.06694259103050061,1.274092025257846,90,1,B10
-0.590617471976313,0.7148861450594921,95,1,B10
-1.6148284927601775,0.7685544453808254,100,2,B10
0.5184526028445665,1.4955720610124843,10,2,B10
0.043102648147445036,1.0208047529834783,15,2,B10
0.3153470518537779,1.3383047667755046,20,2,B10
-0.09036729851991153,0.8767846403025633,25,2,B10
0.05764273557290724,1.0649230495370603,30,2,B10
-0.08817606631748351,0.8912794055565638,35,2,B10
-0.05681095995994463,0.9616577854354882,40,2,B10
-0.11738650829230159,0.8387890679675244,45,2,B10
-0.6102026749209867,0.3444656136568431,50,2,B10
0.8136244133407589,1.7118031720168625,55,2,B10
0.529851094264669,1.4596570191901508,5,2,B10
