x_tailhead,y_tailhead,intercept,x_ymax,y_ymax,slope,diameter,shape,shoulder,battery,soc,cycle
0.06625105490981964,-0.006263185621846806,0.04764160528988052,0.06625105490981964,-0.006263185621846806,-0.7961459597710882,0.03721889923987824,0.28089288004953494,0,B02,10,1
0.06531223086172344,-0.005963473641089815,0.047500706819846,0.0590991871743487,-0.006017857817873873,-0.8162712166203828,0.03562304808375488,0.2727134536192359,0,B02,15,1
0.06613118897795592,-0.006003783000255376,0.047275547642938835,0.059127618236472945,-0.0060131834422632174,-0.7958247152764628,0.037711282670034166,0.28512478947418285,0,B02,20,1
0.0650777372745491,-0.005712908674655655,0.047183620908761055,0.058683528056112225,-0.006027779745584353,-0.7783254719353615,0.035788232731576095,0.2749652510242725,0,B02,25,1
0.06578363807615231,-0.005730194625544877,0.04706339422407342,0.05843912144288577,-0.006001170313498774,-0.775396363844149,0.03744048770415778,0.28457294852571097,0,B02,30,1
0.06664197875751503,-0.005749283558202756,0.047011062199036474,0.058536745891783565,-0.005977659035746027,-0.7649869998029742,0.03926183311695711,0.2945728341877128,0,B02,35,1
0.06544560240480962,-0.0054423902101104395,0.047052452265501005,0.05829056392785571,-0.0059514220391286825,-0.770111519510144,0.036786300278617234,0.28104485960017533,0,B02,40,1
0.06600665290581162,-0.005394436814064494,0.04707327177788926,0.057922668937875746,-0.005910911001014877,-0.7614390077187426,0.03786676225584472,0.2868404970471598,0,B02,45,1
0.06581117695390781,-0.005273176034471399,0.0471228413007633,0.05720818116232465,-0.005889806979089625,-0.7689613907003562,0.03737667130628902,0.2839690234720048,0,B02,50,1
0.06584287274549099,-0.005184385543473694,0.04707912280675536,0.05774731583166333,-0.0058705466920234385,-0.7820232157289683,0.037527499877471254,0.2849776924415953,0,B02,55,1
0.06669735210420842,-0.00652848208019166,0.047923832095066406,0.06669735210420842,-0.00652848208019166,-1.014381889317297,0.03754704001828403,0.2814732431927752,0,B02,5,1
0.06566002204408818,-0.0050711752156933024,0.047136574238173655,0.05799521442885771,-0.0058083582604815075,-0.8415127283561816,0.03704689561182904,0.28211150756965536,0,B02,60,1
0.07064609318637274,-0.006265096334527971,0.04706655906831981,0.07064609318637274,-0.006265096334527971,-0.8940210889913864,0.04715906823610587,0.3337698244097849,0,B02,65,1
0.0644937,-0.004932861885649327,0.0469900229029914,0.057511400000000004,-0.005750544637144649,-0.915445043206582,0.035007354194017196,0.27140134768215496,0,B02,70,1
0.06432492244488977,-0.004827071400507996,0.04693313202413814,0.05653174789579158,-0.005715072778196359,-0.8840201277505871,0.034783580841503264,0.27037405969128075,0,B02,75,1
0.06539990721442886,-0.00468624137641608,0.046787957851248604,0.0573378130260521,-0.005725006999917733,-0.8619186545271971,0.037223898726360505,0.2845867854545517,0,B02,80,1
0.06563568937875752,-0.004620789609309386,0.04674512087751551,0.05680248056112225,-0.00579173016483895,-0.8719649098844404,0.03778113700248402,0.2878094018672072,0,B02,85,1
0.06491403607214428,-0.00460595004787975,0.04667464844302636,0.05711553306613226,-0.005917287968879539,-0.8603679184962231,0.036478775258235854,0.2809775625235658,0,B02,90,1
0.0657340240480962,-0.00445561093660509,0.04653368325374142,0.057368251703406814,-0.005887105896599916,-0.8909784595777912,0.038400681588709545,0.2920913647444783,0,B02,95,1
0.057491676152304605,-0.006780176349691202,0.04270496199022065,0.057491676152304605,-0.006780176349691202,-4.519756736819835,0.029573428324167914,0.2571974788647942,0,B02,100,2
0.06684819018036073,-0.006079967912963294,0.048883294684290486,0.06684819018036073,-0.006079967912963294,-0.8227792308497327,0.035929790992140484,0.268741688407716,0,B02,10,2
0.06550641362725451,-0.005535975967514038,0.04868003306476303,0.06550641362725451,-0.005535975967514038,-0.8248710764548342,0.03365276112498296,0.25686615448431016,0,B02,15,2
0.06328275951903808,-0.005077832801570148,0.04853073261038891,0.05833104609218437,-0.005186534029621506,-0.8179778540315712,0.029504053817298342,0.23311288920975623,0,B02,20,2
0.06634857114228457,-0.005456589030821817,0.04842308957739837,0.06634857114228457,-0.005456589030821817,-0.79090168284198,0.0358509631297724,0.2701713278262615,0,B02,25,2
0.06316189458917836,-0.004872469270726536,0.04838587791953248,0.058340541482965934,-0.0051511688090354335,-0.7988458525221017,0.029552033339291753,0.23393878169350352,0,B02,30,2
0.06602247294589178,-0.005057925475396423,0.04842497779316062,0.05830786733466934,-0.00511511093171632,-0.772324869524553,0.03519499030546232,0.26653795847897205,0,B02,35,2
0.06536951983967937,-0.004801338795081856,0.04840849500435798,0.058149745891783566,-0.005075817163608137,-0.7704019630154967,0.03392204967064277,0.2594638124452924,0,B02,40,2
0.06524342364729459,-0.00467799192712358,0.04855168359616154,0.05811328096192385,-0.005047010744409447,-0.7934629859687067,0.03338348010226609,0.2558378932008298,0,B02,45,2
0.06433249298597195,-0.004514016614575573,0.04854364993348633,0.057338388777555115,-0.005028215415590556,-0.8067835504754557,0.031577686104971234,0.24542563671407014,0,B02,50,2
0.0652705356713427,-0.00449750326606202,0.04851092656064881,0.058211009619238474,-0.005005961909560241,-0.8095400278064689,0.03351921822138777,0.25677143504817695,0,B02,55,2
0.06619922044088176,-0.005962544618929007,0.049119881126303146,0.06619922044088176,-0.005962544618929007,-0.8708874213938612,0.03415867862915724,0.2579991003040749,0,B02,5,2
0.0644474751503006,-0.004352049630728218,0.04859021400875853,0.05826131883767535,-0.004952705734166759,-0.8428791157106025,0.031714522283084134,0.24604937749012973,0,B02,60,2
0.06391665330661322,-0.004302889521165532,0.048559762872476514,0.057141481963927855,-0.004905749540514511,-0.9360927641055851,0.03071378086827342,0.2402643073389418,0,B02,65,2
0.06370773547094188,-0.004140298936742878,0.04852050457976998,0.0578310621242485,-0.004793041091044107,-0.8925487354289112,0.030374461782343806,0.23838911835281043,0,B02,70,2
0.06357748196392786,-0.004047043992681085,0.04840943899762287,0.05771404689378758,-0.004764096169409877,-0.8569404098503255,0.030336085932609974,0.23857571104987962,0,B02,75,2
0.06350529859719439,-0.003899117847040584,0.0484000396262162,0.05704770340681363,-0.004757159628498885,-0.8362243353671603,0.03021051794195638,0.23785824655024182,0,B02,80,2
0.06363876713426854,-0.0038985980258845554,0.04842334666015531,0.05696309058116232,-0.004793765572308748,-0.8235052652028708,0.030430840948226456,0.23909043432615382,0,B02,85,2
0.06405711603206413,-0.003709508268447231,0.048330366210723646,0.057662846092184375,-0.00472823830989718,-0.8144318536722386,0.03145349964268096,0.24551136228906048,0,B02,90,2
0.06644725450901803,-0.003767007897645146,0.048149035675458855,0.05794130761523046,-0.0047505155505852825,-0.8313624174476125,0.036596437667118356,0.27537960700958375,0,B02,95,2
0.08465469539078156,-0.0056477876205654285,0.05957129845601618,0.0702560501002004,-0.006659945282309083,-2.0641195689025436,0.05016679386953077,0.2963024888221006,0,B03,100,1
0.09018701002004008,-0.006677411580797441,0.06563186842528644,0.07570079759519038,-0.007767502506659071,-0.7905789398720608,0.049110283189507276,0.27226916148231706,0,B03,10,1
0.09114252925851703,-0.006635720936489727,0.06365434282358323,0.07509104549098196,-0.007732075322002616,-0.8116633767269654,0.05497637286986759,0.3015956069966656,0,B03,15,1
0.0915122244488978,-0.006587723953993535,0.06437909668082806,0.07507194709418838,-0.007653582264642012,-0.8251128432991663,0.05426625553613948,0.2964973032998603,0,B03,20,1
0.09019144048096192,-0.006328697544387703,0.05829123663427905,0.0744232390781563,-0.007621929521192564,-0.7865446532748597,0.06380040769336574,0.3536943603136767,0,B03,25,1
0.08822301022044088,-0.0062198705062960075,0.06320498535074365,0.07414497755511021,-0.007600906960399588,-0.7867081879968203,0.05003604973939446,0.28357709408447124,0,B03,30,1
0.09082581543086173,-0.0061253554606013885,0.062176882771685024,0.07393055791583167,-0.007588704393995439,-0.7599026437800358,0.0572978653183534,0.31542720011123704,0,B03,35,1
0.09104808637274549,-0.005931810209314765,0.0605583395754804,0.07385615791583167,-0.007590953495945883,-0.7537415023765937,0.06097949359453017,0.33487520728817805,0,B03,40,1
0.09077985511022045,-0.005740867512707887,0.06307936964368166,0.07406869038076153,-0.007590255114512852,-0.7627728288500751,0.05540097093307758,0.30513912401497245,0,B03,45,1
0.09031002645290581,-0.005563154659391787,0.06311445003542558,0.07370468376753507,-0.007565674985739289,-0.7371536322585621,0.05439115283496046,0.3011357374771889,0,B03,50,1
0.09151468216432865,-0.005392565286347104,0.057802609843155786,0.07394710741482965,-0.007609106006268693,-0.727982018104449,0.06742414464234572,0.36837883849760483,0,B03,55,1
0.09228599759519038,-0.006905637467339102,0.06490401678662773,0.07487191022044089,-0.00782955409817885,-0.9523455607052848,0.054763961617125295,0.29670785950294265,0,B03,5,1
0.08952002605210421,-0.005269022283740252,0.06174106946935301,0.07390933186372746,-0.007607385633216206,-0.7810390577751027,0.055557913165502404,0.3103099698226489,0,B03,60,1
0.08957956613226453,-0.005208719767400937,0.06423901231628815,0.07380109619238477,-0.007588080439750422,-0.8340516940194331,0.05068110763195277,0.2828831943499366,0,B03,65,1
0.09343005931863727,-0.005530799786441679,0.06466969462213291,0.07326097454909819,-0.0075549641980793185,-0.8414865856268618,0.0575207293930087,0.3078277473678889,0,B03,70,1
0.09003257935871743,-0.0049180469861800635,0.06441865973515228,0.07311150561122244,-0.007501676465876635,-0.8219740776822572,0.05122783924713031,0.28449612135970737,0,B03,75,1
0.0923938753507014,-0.005083937146335832,0.05476159770857151,0.0731766611222445,-0.007445073087655215,-0.7666070588870996,0.07526455528425978,0.407302729745757,0,B03,80,1
0.08897452084168336,-0.004525921369020696,0.05723654743854017,0.0729183380761523,-0.007429907621184645,-0.7714666966405256,0.06347594680628639,0.3567085622143006,0,B03,85,1
0.08878653426853708,-0.004283021223862149,0.06449585964650983,0.07245318637274549,-0.007389692001146116,-0.7605352151286671,0.048581349244054495,0.2735851198849535,0,B03,90,1
0.08850807134268537,-0.00408310198173538,0.06419593264425266,0.07253519278557113,-0.00739591263151784,-0.7858375323645297,0.04862427739686542,0.2746883795976191,0,B03,95,1
0.08578888517034068,-0.005167327879352153,0.06022348259869897,0.07129087515030061,-0.007011529475591108,-2.076653548868538,0.05113080514328343,0.29800366936672,0,B03,100,2
0.0908806627254509,-0.006954259628335515,0.05701725117084922,0.07626910901803606,-0.007819188895257491,-0.7676502546015299,0.06772682310920335,0.3726140472468002,0,B03,10,2
0.08915303246492985,-0.006679422345404853,0.06375219598470637,0.07569073266533066,-0.007823807284274557,-0.7916200902181589,0.050801672960446964,0.28491275930760307,0,B03,15,2
0.09140903006012024,-0.006844238389348041,0.06323718891095033,0.07540474789579157,-0.007804603897146077,-0.7709366761818858,0.05634368229833983,0.3081953843142317,0,B03,20,2
0.09010566733466935,-0.006594237854281645,0.06153327149304394,0.07527517034068136,-0.007863068650695538,-0.7559686384455508,0.05714479168325082,0.3170987651143204,0,B03,25,2
0.0910418627254509,-0.006601687364748041,0.0588612352476751,0.07534646773547095,-0.007904034955469843,-0.7517042415258692,0.06436125495555159,0.3534706618956254,0,B03,30,2
